Timestamp,ax,ay,az,gx,gy,gz,Posture
2025-04-10 21:51:47,1760,-9944,-21872,-165,-89,-71,Bonne posture
2025-04-10 21:51:47,1796,-9912,-21776,-146,-76,-92,Bonne posture
2025-04-10 21:51:48,1864,-9984,-21740,-152,-87,-101,Bonne posture
2025-04-10 21:51:48,1692,-9940,-21956,-167,-99,-91,Corset non porté
2025-04-10 21:51:49,1716,-9976,-21748,-156,-75,-91,Bonne posture
2025-04-10 21:51:49,1776,-10052,-21932,-145,-70,-81,Bonne posture
2025-04-10 21:51:50,1756,-9976,-21988,-171,-53,-83,Bonne posture
2025-04-10 21:51:50,1668,-9992,-21944,-147,-73,-92,Bonne posture
2025-04-10 21:51:51,1784,-10028,-21896,-100,-84,-82,Bonne posture
2025-04-10 21:51:51,1876,-10120,-21848,-147,-88,-90,Bonne posture
2025-04-10 21:51:52,1748,-10044,-21728,-169,-72,-107,Bonne posture
2025-04-10 21:51:52,1712,-10052,-21892,-147,-91,-63,Corset non porté
2025-04-10 21:51:53,1688,-10048,-21880,-167,-47,-91,Bonne posture
2025-04-10 21:51:53,1808,-10088,-21840,-149,-77,-90,Bonne posture
2025-04-10 21:51:54,1924,-10056,-21832,-164,-91,-87,Corset non porté
2025-04-10 21:51:54,1808,-9972,-21840,-174,-83,-92,Corset non porté
2025-04-10 21:51:55,1724,-10036,-21896,-153,-74,-97,Bonne posture
2025-04-10 21:51:55,1792,-9980,-21784,-154,-109,-90,Bonne posture
2025-04-10 21:51:56,1808,-9972,-21812,-161,-75,-105,Bonne posture
2025-04-10 21:51:56,1816,-10044,-21920,-172,-90,-128,Corset non porté
2025-04-10 21:51:57,1800,-9924,-21944,-155,-76,-108,Bonne posture
2025-04-10 21:51:57,1776,-10024,-21784,-142,-81,-94,Corset non porté
2025-04-10 21:51:58,1756,-9928,-21864,-172,-75,-77,Corset non porté
2025-04-10 21:51:58,1772,-9928,-21876,-149,-72,-114,Corset non porté
2025-04-10 21:51:59,1784,-10020,-21988,-146,-71,-97,Bonne posture
2025-04-10 21:51:59,1892,-10028,-21760,-175,-60,-90,Corset non porté
2025-04-10 21:52:00,1868,-9988,-21912,-159,-81,-96,Bonne posture
2025-04-10 21:52:01,1800,-10000,-21988,-192,-55,-96,Bonne posture
2025-04-10 21:52:01,1788,-10004,-21924,-187,-65,-99,Corset non porté
2025-04-10 21:52:02,1772,-9840,-21848,-149,-80,-99,Bonne posture
2025-04-10 21:52:02,1856,-9992,-22020,-153,-58,-70,Bonne posture
2025-04-10 21:52:03,1740,-10068,-21944,-167,-62,-84,Bonne posture
2025-04-10 21:52:03,1768,-9968,-21912,-240,-20,-124,Corset non porté
2025-04-10 21:52:04,1760,-10004,-21844,-156,-81,-96,Corset non porté
2025-04-10 21:52:04,1788,-10100,-21888,-136,-77,-77,Bonne posture
2025-04-10 21:52:05,1760,-10072,-21852,-160,-48,-96,Corset non porté
2025-04-10 21:52:05,1684,-9792,-22160,-411,80,-140,Corset non porté
2025-04-10 21:52:06,1764,-9944,-21804,-143,-87,-84,Bonne posture
2025-04-10 21:52:06,1788,-9980,-21844,-170,-77,-106,Corset non porté
2025-04-10 21:52:07,1840,-9992,-21664,-158,-78,-90,Corset non porté
2025-04-10 21:52:07,1708,-10000,-21880,-171,-51,-113,Corset non porté
2025-04-10 21:52:08,1768,-9992,-21788,-162,-69,-91,Bonne posture
2025-04-10 21:52:08,1776,-9976,-21780,-163,-65,-96,Bonne posture
2025-04-10 21:52:09,1848,-9988,-21936,-158,-79,-92,Bonne posture
2025-04-10 21:52:09,1764,-10024,-21904,-171,-68,-81,Bonne posture
2025-04-10 21:52:10,1796,-9992,-21924,-163,-76,-94,Bonne posture
2025-04-10 21:52:10,1740,-9996,-22012,-145,-65,-91,Corset non porté
2025-04-10 21:52:11,1788,-9892,-21880,-155,-67,-93,Bonne posture
2025-04-10 21:52:11,1752,-9940,-21852,-157,-76,-87,Bonne posture
2025-04-10 21:52:12,1624,-9924,-21844,-167,-66,-79,Bonne posture
2025-04-10 21:52:12,1720,-9968,-21756,-153,-57,-100,Bonne posture
2025-04-10 21:52:13,1792,-9932,-21868,-140,-89,-111,Corset non porté
2025-04-10 21:52:13,1756,-9980,-21940,-174,-90,-84,Bonne posture
2025-04-10 21:52:14,1724,-9972,-21700,-152,-72,-108,Bonne posture
2025-04-10 21:52:14,1816,-9908,-21904,-118,-76,-102,Corset non porté
2025-04-10 21:52:15,1872,-9972,-22028,-170,-94,-79,Bonne posture
2025-04-10 21:52:15,1796,-10012,-21760,-167,-81,-92,Bonne posture
2025-04-10 21:52:16,1860,-10032,-21772,-149,-78,-87,Corset non porté
2025-04-10 21:52:16,1816,-10020,-21860,-152,-72,-112,Bonne posture
2025-04-10 21:52:17,1700,-9972,-21944,-175,-67,-110,Corset non porté
2025-04-10 21:52:17,1852,-9972,-21880,-161,-75,-75,Bonne posture
2025-04-10 21:52:18,1800,-9972,-21752,-147,-64,-105,Corset non porté
2025-04-10 21:52:18,1752,-10008,-21904,-155,-65,-101,Corset non porté
2025-04-10 21:52:19,1836,-9916,-21912,-160,-82,-88,Corset non porté
2025-04-10 21:52:19,1888,-9952,-21968,-151,-69,-103,Corset non porté
2025-04-10 21:52:20,1840,-9984,-21800,-156,-58,-92,Corset non porté
2025-04-10 21:52:20,1864,-9908,-22008,-159,-59,-98,Bonne posture
2025-04-10 21:52:21,1788,-9912,-21808,-178,-82,-91,Bonne posture
2025-04-10 21:52:21,1816,-10076,-21924,-175,-69,-89,Bonne posture
2025-04-10 21:52:22,1772,-9920,-21768,-167,-41,-101,Bonne posture
2025-04-10 21:52:22,1832,-9984,-21856,-150,-73,-68,Corset non porté
2025-04-10 21:52:23,1752,-9984,-22020,-169,-77,-82,Bonne posture
2025-04-10 21:52:23,1800,-10064,-21908,-145,-51,-91,Bonne posture
2025-04-10 21:52:24,1764,-10008,-21676,-171,-56,-117,Corset non porté
2025-04-10 21:52:24,1812,-9988,-21936,-166,-74,-83,Bonne posture
2025-04-10 21:52:25,1816,-10020,-21840,-132,-74,-81,Bonne posture
2025-04-10 21:52:25,1772,-9980,-21876,-157,-44,-71,Bonne posture
2025-04-10 21:52:26,1884,-9988,-21736,-173,-66,-86,Corset non porté
2025-04-10 21:52:26,1832,-9996,-21880,-164,-72,-108,Bonne posture
2025-04-10 21:52:27,2212,-10356,-22344,57,241,375,Corset non porté
2025-04-10 21:52:27,4140,-5992,-15696,-423,7603,-1042,Mauvaise posture
2025-04-10 21:52:28,12208,-4252,-19132,-3174,703,-102,Corset non porté
2025-04-10 21:52:28,12244,-220,-18060,-213,298,-31,Corset non porté
2025-04-10 21:52:29,14236,-4968,-20104,4569,2623,-1380,Corset non porté
2025-04-10 21:52:29,14444,-3744,-20828,-17,-69,-439,Mauvaise posture
2025-04-10 21:52:30,15036,-9320,-23092,2687,598,103,Mauvaise posture
2025-04-10 21:52:30,15192,-10116,-21804,-240,339,-37,Corset non porté
2025-04-10 21:52:31,15232,-11968,-22396,3431,1077,2372,Corset non porté
2025-04-10 21:52:31,15868,-13488,-21812,1232,140,-37,Mauvaise posture
2025-04-10 21:52:32,15892,-13584,-21420,-228,790,-238,Corset non porté
2025-04-10 21:52:32,16296,-13564,-21544,-270,283,254,Mauvaise posture
2025-04-10 21:52:33,16960,-13144,-21132,-344,-162,-142,Corset non porté
2025-04-10 21:52:33,16704,-13356,-20996,242,-865,241,Corset non porté
2025-04-10 21:52:34,16660,-13780,-21248,-1671,-809,-1478,Mauvaise posture
2025-04-10 21:52:34,16532,-12844,-20988,458,-457,955,Mauvaise posture
2025-04-10 21:52:35,16940,-12916,-21072,966,806,995,Mauvaise posture
2025-04-10 21:52:35,15288,-13968,-21548,-530,-1245,-986,Corset non porté
2025-04-10 21:52:36,15592,-13436,-21316,-866,-70,-1032,Corset non porté
2025-04-10 21:52:36,15492,-13904,-21700,-322,-199,456,Corset non porté
2025-04-10 21:52:37,15516,-13408,-21692,1414,718,844,Mauvaise posture
2025-04-10 21:52:37,15808,-13560,-22020,-627,885,-661,Corset non porté
2025-04-10 21:52:38,15992,-13056,-21680,-501,31,-405,Corset non porté
2025-04-10 21:52:38,15864,-13456,-21764,-480,614,-717,Mauvaise posture
2025-04-10 21:52:39,16176,-13608,-21704,40,199,-117,Corset non porté
2025-04-10 21:52:39,16424,-14276,-21388,275,-1,207,Mauvaise posture
2025-04-10 21:52:40,16092,-14828,-21032,-34,-79,-130,Mauvaise posture
2025-04-10 21:52:40,16288,-14816,-20800,-19,723,-223,Corset non porté
2025-04-10 21:52:41,16640,-14840,-20868,-611,-307,-204,Corset non porté
2025-04-10 21:52:41,16052,-15412,-21440,-481,189,-73,Corset non porté
2025-04-10 21:52:42,16560,-16084,-20648,482,458,1099,Corset non porté
2025-04-10 21:52:42,16528,-16116,-20552,-324,496,-452,Corset non porté
2025-04-10 21:52:43,16244,-16028,-21184,-1055,777,-1720,Mauvaise posture
2025-04-10 21:52:43,15940,-16280,-21112,-120,670,-1141,Corset non porté
2025-04-10 21:52:44,15656,-16976,-20268,1915,-3338,3535,Mauvaise posture
2025-04-10 21:52:44,12628,-16048,-19992,-5853,2041,-2043,Mauvaise posture
2025-04-10 21:52:45,15188,-14256,-21224,-2405,1983,-2016,Corset non porté
2025-04-10 21:52:45,16108,-14696,-21680,-149,183,3765,Mauvaise posture
2025-04-10 21:52:46,15296,-10988,-21244,-3923,-599,-33,Mauvaise posture
2025-04-10 21:52:46,15520,-10796,-22032,-286,-615,60,Mauvaise posture
2025-04-10 21:52:47,15388,-11004,-21944,322,218,145,Corset non porté
2025-04-10 21:52:47,15452,-11408,-21852,-192,338,-193,Corset non porté
2025-04-10 21:52:48,15304,-11076,-21688,-739,-844,-157,Mauvaise posture
2025-04-10 21:52:48,15736,-11072,-21644,-359,-505,-60,Corset non porté
2025-04-10 21:52:49,15880,-11420,-21992,110,40,30,Mauvaise posture
2025-04-10 21:52:49,15208,-11484,-21948,16,-109,74,Mauvaise posture
2025-04-10 21:52:50,15504,-11296,-21960,-122,-195,12,Corset non porté
2025-04-10 21:52:50,15168,-11288,-22100,-203,139,-262,Corset non porté
2025-04-10 21:52:51,15488,-11644,-21704,-26,136,-244,Mauvaise posture
2025-04-10 21:52:51,15516,-11648,-21804,-712,740,-739,Mauvaise posture
2025-04-10 21:52:52,16140,-10060,-21392,337,87,-75,Mauvaise posture
2025-04-10 21:52:52,16232,-12052,-21656,316,455,-254,Mauvaise posture
2025-04-10 21:52:53,16548,-11784,-21568,118,207,213,Corset non porté
2025-04-10 21:52:53,16448,-11680,-21308,96,131,200,Mauvaise posture
2025-04-10 21:52:54,16316,-11684,-21440,-212,90,-9,Corset non porté
2025-04-10 21:52:54,16556,-11848,-21640,-130,127,-143,Mauvaise posture
2025-04-10 21:52:55,16476,-11852,-21244,-62,-22,-25,Mauvaise posture
2025-04-10 21:52:55,16956,-11836,-21704,232,1572,-528,Corset non porté
2025-04-10 21:52:56,16628,-11840,-21292,146,-242,63,Mauvaise posture
2025-04-10 21:52:56,16628,-12504,-21248,-343,-1345,505,Mauvaise posture
2025-04-10 21:52:57,17120,-12132,-21252,-246,-902,404,Mauvaise posture
2025-04-10 21:52:57,16756,-12076,-21200,-839,-889,-479,Corset non porté
2025-04-10 21:52:58,16340,-12112,-21408,24,-1527,664,Mauvaise posture
2025-04-10 21:52:58,15708,-12440,-21784,238,-1136,908,Corset non porté
2025-04-10 21:52:59,16708,-11716,-21464,-809,-1527,-354,Mauvaise posture
2025-04-10 21:52:59,16204,-11696,-21416,89,168,180,Corset non porté
2025-04-10 21:53:00,16332,-11940,-21800,-47,-344,22,Mauvaise posture
2025-04-10 21:53:00,15868,-11832,-21620,-136,-192,87,Mauvaise posture
2025-04-10 21:53:01,15980,-12144,-21592,101,209,59,Mauvaise posture
2025-04-10 21:53:01,16020,-11988,-21644,117,387,-76,Corset non porté
2025-04-10 21:53:02,16108,-12120,-21600,-457,-265,-339,Mauvaise posture
2025-04-10 21:53:02,16064,-11984,-21636,-95,181,-58,Mauvaise posture
2025-04-10 21:53:03,16684,-12080,-21680,-283,983,-305,Corset non porté
2025-04-10 21:53:03,16216,-12264,-21644,277,125,206,Mauvaise posture
2025-04-10 21:53:04,16312,-12328,-21608,-155,-52,-152,Mauvaise posture
2025-04-10 21:53:04,15692,-12932,-21264,-1953,-1023,-1007,Mauvaise posture
2025-04-10 21:53:05,15628,-12712,-21748,1013,-1064,2122,Corset non porté
2025-04-10 21:53:05,16480,-12096,-21384,-1326,2991,-1557,Corset non porté
2025-04-10 21:53:06,16680,-12704,-21376,-208,254,-384,Corset non porté
2025-04-10 21:53:06,16572,-12360,-21308,-276,-432,73,Mauvaise posture
2025-04-10 21:53:07,16352,-12408,-21192,108,247,-48,Mauvaise posture
2025-04-10 21:53:07,16560,-12760,-21412,-80,12,-75,Mauvaise posture
2025-04-10 21:53:08,16972,-12512,-21116,-505,-268,-310,Mauvaise posture
2025-04-10 21:53:08,16592,-11864,-21296,327,-851,1273,Mauvaise posture
2025-04-10 21:53:09,16572,-12632,-21296,162,150,242,Mauvaise posture
2025-04-10 21:53:09,16292,-12956,-21420,591,37,624,Corset non porté
2025-04-10 21:53:10,16812,-12784,-21040,-410,-1342,-88,Corset non porté
2025-04-10 21:53:10,17108,-13064,-21224,27,275,168,Mauvaise posture
2025-04-10 21:53:11,16748,-12736,-21256,-495,169,-642,Corset non porté
2025-04-10 21:53:11,16416,-12632,-21340,555,-1540,1048,Mauvaise posture
2025-04-10 21:53:12,17900,-12016,-20772,-55,-1160,13,Mauvaise posture
2025-04-10 21:53:12,16960,-12720,-21080,-179,-722,-49,Corset non porté
2025-04-10 21:53:13,17144,-12648,-21104,262,-70,241,Mauvaise posture
2025-04-10 21:53:13,16992,-12680,-20768,-175,-108,-228,Corset non porté
2025-04-10 21:53:14,17424,-12724,-21060,-277,-610,-78,Mauvaise posture
2025-04-10 21:53:14,17400,-12464,-20800,-452,-365,-307,Mauvaise posture
2025-04-10 21:53:15,17220,-12520,-20728,-564,988,-932,Corset non porté
2025-04-10 21:53:15,17352,-12508,-20880,-508,-701,-529,Mauvaise posture
2025-04-10 21:53:16,17164,-12488,-20924,-10,905,-310,Corset non porté
2025-04-10 21:53:16,17468,-12564,-20896,7,566,-5,Corset non porté
2025-04-10 21:53:17,17480,-12676,-20604,-855,170,-919,Mauvaise posture
2025-04-10 21:53:18,17464,-12808,-20704,-235,-975,118,Mauvaise posture
2025-04-10 21:53:18,17364,-12740,-20952,81,-166,61,Mauvaise posture
2025-04-10 21:53:19,18172,-12024,-20648,209,2474,238,Corset non porté
2025-04-10 21:53:19,17800,-12628,-20324,108,-1211,414,Mauvaise posture
2025-04-10 21:53:20,17824,-13248,-20616,220,536,409,Mauvaise posture
2025-04-10 21:53:20,17772,-12500,-20672,-362,-1055,-278,Corset non porté
2025-04-10 21:53:21,17368,-12944,-20988,-339,-691,-308,Mauvaise posture
2025-04-10 21:53:21,16460,-15436,-20144,8076,-1680,3850,Mauvaise posture
2025-04-10 21:53:22,14296,-23668,-15716,517,914,2170,Mauvaise posture
2025-04-10 21:53:22,14216,-25976,-12776,6388,224,2408,Corset non porté
2025-04-10 21:53:23,13440,-26560,-10128,-359,262,-122,Mauvaise posture
2025-04-10 21:53:23,14160,-26480,-10992,-8242,2531,-161,Corset non porté
2025-04-10 21:53:24,14652,-16572,-17292,-22644,-1261,-1638,Mauvaise posture
2025-04-10 21:53:24,12088,-14252,-29400,-2637,6441,-10481,Corset non porté
2025-04-10 21:53:25,13292,3520,-12176,-2736,-702,-960,Corset non porté
2025-04-10 21:53:25,13052,3732,-9948,-3021,3680,-825,Mauvaise posture
2025-04-10 21:53:26,12468,4152,-9432,3489,-1520,-1495,Mauvaise posture
2025-04-10 21:53:26,12496,2572,-14724,1444,-169,-499,Mauvaise posture
2025-04-10 21:53:27,12852,3564,-14968,1420,-1017,-1205,Mauvaise posture
2025-04-10 21:53:27,11960,2800,-13964,66,251,-377,Mauvaise posture
2025-04-10 21:53:28,12012,2816,-14660,-507,-109,125,Corset non porté
2025-04-10 21:53:28,11704,3000,-14276,206,-797,211,Corset non porté
2025-04-10 21:53:29,11204,2720,-13764,-337,-468,-299,Corset non porté
2025-04-10 21:53:29,11372,3024,-14168,-2377,406,-91,Mauvaise posture
2025-04-10 21:53:30,11128,4240,-12284,448,90,-2024,Corset non porté
2025-04-10 21:53:30,10560,3592,-11396,2492,-7235,-2067,Corset non porté
2025-04-10 21:53:31,9860,3652,-12172,-728,-1323,-1150,Mauvaise posture
2025-04-10 21:53:31,11008,4656,-12208,285,-666,-226,Mauvaise posture
2025-04-10 21:53:32,10772,3968,-11640,117,-51,-88,Corset non porté
2025-04-10 21:53:32,12048,4720,-14164,584,558,-1184,Corset non porté
2025-04-10 21:53:33,12832,3892,-11220,-1913,-1464,1110,Mauvaise posture
2025-04-10 21:53:33,13592,6276,-6676,-8127,2951,3050,Corset non porté
2025-04-10 21:53:34,13496,3180,-2024,-1828,-89,382,Corset non porté
2025-04-10 21:53:34,13956,2832,-340,-794,1257,236,Corset non porté
2025-04-10 21:53:35,13512,2324,32,-1103,-824,345,Corset non porté
2025-04-10 21:53:35,13568,2428,440,829,658,45,Mauvaise posture
2025-04-10 21:53:36,14496,3804,-7368,11205,1744,1968,Mauvaise posture
2025-04-10 21:53:36,15940,1596,-14776,5166,-1796,-1256,Corset non porté
2025-04-10 21:53:37,12008,-116,-19216,3862,-1949,1058,Mauvaise posture
2025-04-10 21:53:37,11016,-19256,-19460,8823,-1131,-931,Mauvaise posture
2025-04-10 21:53:38,9628,-26932,-3800,14295,-1757,1359,Corset non porté
2025-04-10 21:53:38,10064,-23036,352,9830,-3567,752,Mauvaise posture
2025-04-10 21:53:39,9084,-25164,1788,496,-587,1116,Corset non porté
2025-04-10 21:53:39,9700,-25528,1972,40,-1806,-1823,Mauvaise posture
2025-04-10 21:53:40,5516,-26536,-21744,-32768,13682,19979,Corset non porté
2025-04-10 21:53:40,-1936,-19608,-16088,-102,681,-110,Corset non porté
2025-04-10 21:53:41,-2088,-18196,-17168,-2457,-589,454,Corset non porté
2025-04-10 21:53:41,-2228,-17376,-17560,-1110,-151,-16,Mauvaise posture
2025-04-10 21:53:42,-2224,-17152,-17876,-171,-52,-73,Corset non porté
